;nomeCientifico;nomePopular;familia;categoria;clima;origem;altura;luminosidade;cicloDeVida
287;Dianthus chinensis;Cravina, ;Caryophyllaceae;Flores Perenes;Mediterrâneo, Oceânico, Subtropical, Tropical;Ásia, Europa;0.1 a 0.3 metros;Meia Sombra, Sol Pleno;Bienal, Perene
288;Diascia spp;Confete, ;Scrophulariaceae;Flores Anuais, Flores Perenes;Mediterrâneo, Subtropical, Tropical;África, África do Sul;0.1 a 0.3 metros, 0.3 a 0.4 metros;Meia Sombra, Sol Pleno;Anual, Bienal, Perene
289;Dicentra spectabilis;Coração-sangrento, ;Fumariaceae;Flores Perenes;Mediterrâneo, Subtropical, Temperado;Ásia;0.6 a 0.9 metros;Meia Sombra;Perene
290;Dichondra repens;Dicondra, Orelha-de-rato;Convolvulaceae;Folhagens, Forrações à Meia Sombra;Equatorial, Subtropical, Tropical;América do Sul, Brasil;0.1 a 0.3 metros, menos de 15 cm;Luz Difusa, Meia Sombra;Perene
291;Dichorisandra thyrsiflora;Dicorisandra, Cana-de-macaco, Gengibre-azul, Marianhinha, Trapoeraba-azul;Commelinaceae;Arbustos, Arbustos Tropicais;Equatorial, Subtropical, Tropical;América do Sul, Brasil;1.2 a 1.8 metros, 1.8 a 2.4 metros;Meia Sombra;Perene
292;Dicksonia sellowiana;Xaxim, Feto-arborescente, Samambaiaçu, Samambaiaçu-imperial;Dicksoniaceae;Arbustos, Arbustos Tropicais, Plantas Esculturais;Subtropical, Tropical;América do Sul, Brasil;0.9 a 1.2 metros, 1.2 a 1.8 metros, 1.8 a 2.4 metros, 2.4 a 3.0 metros, 3.0 a 3.6 metros, 3.6 a 4.7 metros;Luz Difusa, Meia Sombra;Perene
293;Dieffenbachia amoena;Comigo-ninguém-pode, Difembáquia;Araceae;Folhagens;Equatorial, Subtropical, Tropical;América Central;0.6 a 0.9 metros, 0.9 a 1.2 metros;Luz Difusa, Meia Sombra;Perene
294;Dietes bicolor;Moréia-bicolor, Dietes, Moréia;Iridaceae;Flores Perenes;Equatorial, Subtropical, Tropical;África, África do Sul;0.4 a 0.6 metros, 0.6 a 0.9 metros;Meia Sombra, Sol Pleno;Perene
295;Dietes iridioides;Moréia, ;Iridaceae;Flores Perenes;Mediterrâneo, Subtropical, Tropical;África, África do Sul;0.4 a 0.6 metros;Sol Pleno;Perene
296;Digitalis purpurea;Dedaleira, Abeloura, Digital, Digitalina, Erva-albiloura, Erva-dedal;Plantaginaceae;Flores Anuais, Medicinal;Mediterrâneo, Subtropical, Temperado;Europa;0.9 a 1.2 metros;Meia Sombra, Sol Pleno;Bienal
297;Dionaea muscipula;Dionéia, Dionea, Vênus-caça-moscas, Vênus-papa-moscas;Droseraceae;Plantas Carnívoras;Mediterrâneo, Subtropical, Temperado, Tropical;América do Norte, Estados Unidos;menos de 15 cm;Sol Pleno;Perene
298;Diospyros kaki;Caqui, Caquizeiro, Dióspiro, Diospireiro;Ebenaceae;Árvores, Árvores Frutíferas;Mediterrâneo, Subtropical, Temperado;Ásia, Birmânia, China, Coréia do Norte, Coréia do Sul, Japão, Nepal;9.0 a 12 metros;Sol Pleno;Perene
299;Diospyros nigra;Sapota-preta, Fruta-pudim-de-chocolate, Pudim-de-chocolate, Sapota-preta-gigante, Sapota-chocolate;Ebenaceae;Árvores, Árvores Frutíferas;Equatorial, Subtropical, Tropical;América Central, América do Norte, México;9.0 a 12 metros, acima de 12 metros;Sol Pleno;Perene
300;Dipteryx alata;Baru, Cumaru, Barujo, Bugueiro, Cambaru, Castanha-de-bugre, Coco-feijão, Cumari, Cumarurana, Cumbaru, Feijão-baru, Feijão-coco, Imburana-brava, Pau-cumaru, Emburana-brava, Feijão-coco, Baruzeiro, Chuva-de-ouro, Guaiçara, Sucupira-branca;Fabaceae;Árvores, Árvores Frutíferas, Árvores Ornamentais;Continental, Mediterrâneo, Tropical;América do Sul, Bolívia, Brasil, Paraguai, Peru;acima de 12 metros;Sol Pleno;Perene
301;Disocactus flagelliformis;Cacto-rabo-de-rato, Rabo-de-rato;Cactaceae;Cactos e Suculentas, Flores, Flores Perenes, Folhagens;Equatorial, Mediterrâneo, Semi-árido, Subtropical, Tropical;América do Norte, México;0.1 a 0.3 metros, 0.3 a 0.4 metros, 0.4 a 0.6 metros, 0.6 a 0.9 metros, 0.9 a 1.2 metros, 1.2 a 1.8 metros;Meia Sombra;Perene
302;Dombeya wallichii;Astrapéia, Astrapéia-rosa, Dombéia, Flor-de-abelha;Malvaceae;Árvores, Árvores Ornamentais;Equatorial, Mediterrâneo, Subtropical, Tropical;África, Madagascar;2.4 a 3.0 metros, 3.0 a 3.6 metros, 3.6 a 4.7 metros, 4.7 a 6.0 metros;Meia Sombra, Sol Pleno;Perene
303;Dorotheanthus bellidiformis;Ficóide, Tapete-mágico, Planta-gelo, Fábrica-de-gelo, ;Aizoaceae;Flores, Flores Anuais, Forrações ao Sol Pleno, Gramados e Forrações;Mediterrâneo, Oceânico, Subtropical, Temperado, Tropical;África, África do Sul;menos de 15 cm;Sol Pleno;Anual
304;Dracaena fragrans;Dracena, Dragoeiro, Pau-d'água, Coqueiro-de-vênus, Dracena-deremenis, Cana-agna, Cana-índia, Tronco-do-brasil, Pau-do-brasil;Asparagaceae;Arbustos, Arbustos Tropicais, Folhagens;Equatorial, Mediterrâneo, Oceânico, Subtropical, Temperado, Tropical;Angola, Costa do Marfim, Moçambique, Sudão, Tanzânia, Zâmbia;0.6 a 0.9 metros, 0.9 a 1.2 metros, 1.2 a 1.8 metros, 1.8 a 2.4 metros, 2.4 a 3.0 metros, 3.0 a 3.6 metros, 3.6 a 4.7 metros, 4.7 a 6.0 metros, 6.0 a 9.0 metros;Luz Difusa, Meia Sombra, Sol Pleno;Perene
305;Dracaena marginata;Dracena-de-madagascar, Dracena;Asparagaceae;Arbustos, Arbustos Tropicais, Plantas Esculturais;Equatorial, Subtropical, Tropical;África, Madagascar;0.6 a 0.9 metros, 0.9 a 1.2 metros, 1.2 a 1.8 metros, 1.8 a 2.4 metros, 2.4 a 3.0 metros, 3.0 a 3.6 metros, 3.6 a 4.7 metros, 4.7 a 6.0 metros;Meia Sombra, Sol Pleno;Perene
306;Dracaena reflexa;Pleomele, Dracena-malaia, Pau-d'água;Asparagaceae;Arbustos, Arbustos Tropicais, Cercas Vivas;Equatorial, Subtropical, Tropical;África, Ilhas Mascarenhas, Madagascar;1.8 a 2.4 metros, 2.4 a 3.0 metros;Luz Difusa, Meia Sombra, Sol Pleno;Perene
307;Dracaena sanderiana;Bambu-da-sorte, Dracena-fita, Dracena-sanderiana, Lucky-bamboo;Asparagaceae;Arbustos, Arbustos Tropicais, Folhagens;Equatorial, Mediterrâneo, Subtropical, Tropical;África;0.6 a 0.9 metros, 0.9 a 1.2 metros, 1.2 a 1.8 metros;Meia Sombra;Perene
308;Dracaena surculosa;Dracena-bambú, ;Asparagaceae;Arbustos, Arbustos Tropicais, Folhagens;Equatorial, Subtropical, Tropical;África, Congo;0.6 a 0.9 metros, 0.9 a 1.2 metros, 1.2 a 1.8 metros, 1.8 a 2.4 metros, 2.4 a 3.0 metros;Luz Difusa, Meia Sombra;Perene
309;Dracula sp;Orquídea-macaco, Orquídea-cara-de-macaco, Macaquinho, Cara-de-macaco;Orchidaceae;Flores, Orquídeas;Subtropical, Tropical;América do Norte, América do Sul, Colômbia, Equador, México, Peru;0.1 a 0.3 metros;Luz Difusa;Perene
310;Duranta erecta;Violeteira, Durância, Duranta, Fruta-de-jacu;Verbenaceae;Arbustos, Arbustos Tropicais, Cercas Vivas;Equatorial, Subtropical, Tropical;América Central, América do Sul;3.0 a 3.6 metros, 3.6 a 4.7 metros, 4.7 a 6.0 metros;Meia Sombra, Sol Pleno;Perene
311;Duranta erecta aurea;Pingo-de-ouro, Duranta, Violeteira, Violeteira-dourada;Verbenaceae;Arbustos, Arbustos Tropicais, Árvores, Bonsai, Cercas Vivas;Equatorial, Subtropical, Tropical;América do Sul, Brasil;3.6 a 4.7 metros, 4.7 a 6.0 metros;Sol Pleno;Perene
312;Dypsis decaryi;Palmeira-triângulo, Palmeira-triangular, Palmera-de-tronco-triangular, Neodipsis, Palma-triangular;Arecaceae;Árvores, Palmeiras;Equatorial, Mediterrâneo, Oceânico, Subtropical, Tropical;África, Madagascar;4.7 a 6.0 metros;Meia Sombra, Sol Pleno;Perene
313;Dypsis lutescens;Palmeira-areca, Areca, Areca-bambu;Arecaceae;Arbustos, Arbustos Tropicais, Palmeiras;Equatorial, Subtropical, Tropical;África, Madagascar;3.0 a 3.6 metros, 3.6 a 4.7 metros, 4.7 a 6.0 metros, 6.0 a 9.0 metros;Meia Sombra, Sol Pleno;Perene
314;Echeveria spp;Echevéria, Bola-de-neve-mexicana, Rosa-de-pedra;Crassulaceae;Cactos e Suculentas;Equatorial, Mediterrâneo, Semi-árido, Subtropical, Tropical;América do Norte, México;0.1 a 0.3 metros, menos de 15 cm;Meia Sombra, Sol Pleno;Perene
315;Echinacea purpurea;Equinácea, Purpúrea, Flor-de-cone, Púrpura, Rudbéquia;Asteraceae;Flores, Flores Perenes, Medicinal, Plantas Hortícolas;Continental, Equatorial, Mediterrâneo, Oceânico, Subtropical, Temperado, Tropical;América do Norte, Estados Unidos;0.6 a 0.9 metros, 0.9 a 1.2 metros, 1.2 a 1.8 metros;Meia Sombra, Sol Pleno;Perene
316;Echinocactus grusonii;Cadeira-de-sogra, Cacto-bola, Poltrona-de-sogra;Cactaceae;Cactos e Suculentas;Equatorial, Semi-árido, Subtropical, Tropical;América do Norte, México;0.6 a 0.9 metros;Sol Pleno;Perene
317;Echium candicans;Orgulho-da-madeira, Massaroco, Soajos, Soagem;Boraginaceae;Arbustos, Flores;Mediterrâneo, Oceânico, Subtropical, Tropical;Europa, Ilha da Madeira;1.8 a 2.4 metros;Sol Pleno;Bienal, Perene
318;Eichhornia crassipes;Aguapé, Baroneza, Camalote, Jacinto-d'água, Murumuru, Mururé, Pareci, Pavoa, Rainha-dos-lagos;Pontederiaceae;Plantas Aquáticas, Plantas Flutuantes;Equatorial, Subtropical, Tropical;América Central, América do Norte, América do Sul;0.1 a 0.3 metros;Sol Pleno;Perene
319;Eichhornia paniculata;Mureré, Aguapé, Jacinto-d'água, Rainha-dos-lagos;Pontederiaceae;Plantas Aquáticas, Plantas Flutuantes, Plantas Marginais;Equatorial, Subtropical, Tropical;América do Sul;0.1 a 0.3 metros;Sol Pleno;Perene
320;Elaeagnus pungens;Oleagno, Eleagno, Oleastro, Oliveira-ornamental;Elaeagnaceae;Arbustos, Cercas Vivas;Continental, Mediterrâneo, Oceânico, Subtropical, Temperado, Tropical;Ásia, China, Japão;1.2 a 1.8 metros, 1.8 a 2.4 metros;Meia Sombra, Sol Pleno;Perene
321;Eleusine indica;Pé-de-galinha, Capim-da-cidade, Capim-de-burro, Capim-de-coroa-d’ouro, Capim-de-pomar, Capim-d’ouro, Capim-fubá, Capim-pé-de-galinha, Flor-de-grama, Grama-de-coradouro, Grama-sapo, Pata-de-galinha, Pé-de-papagaio;Poaceae;Plantas Daninhas;Continental, Equatorial, Mediterrâneo, Oceânico, Subtropical, Temperado, Tropical;Ásia;0.4 a 0.6 metros;Meia Sombra, Sol Pleno;Anual
322;Ensete ventricosum;Bananeira-da-abissínia, Bananeira-de-jardim;Musaceae;Arbustos, Arbustos Tropicais, Plantas Esculturais;Equatorial, Subtropical, Tropical;África;4.7 a 6.0 metros;Sol Pleno;Bienal
323;Enterolobium contortisiliquum;Tamboril, Araribá, Árvore-das-patacas, Cambanambi, Sabão-de-macaco, Chimbó, Chimbuva, Flor-de-algodão, Orelha-de-macaco, Orelha-de-negro, Orelha-de-onça, Orelha-de-preto, Pacará, Pau-de-sabão, Pau-sabão, Tambaré, Tamboi, Tambor, Tambori, Tamboril-do-campo, Tamboril-pardo, Tamborim, Tamburé, Tamburil, Tamburiúva, Tambuvé, Tambuvi, Timbaíba, Timbaúba, Timbaúva, Timbaúva-branca, Timbaúva-preta, Timbíba, Timbó, Timboíba, Timborana, Timbori, Timboril, Timboúba, Timboúva, Timbuíba, Timburi, Timburil, Timbuva, Vinhática-flor-de-algodão, Ximbiuva, Ximbó, Ximbuva;Fabaceae;Árvores, Árvores Ornamentais;Equatorial, Mediterrâneo, Subtropical, Tropical;América do Sul;9.0 a 12 metros;Sol Pleno;Perene
324;Epidendrum spp;Epidendro, Orquídea-crucifixo, Orquídea-estrela;Orchidaceae;Flores Perenes, Orquídeas;Equatorial, Subtropical, Tropical;América Central, América do Sul;0.1 a 0.3 metros, 0.3 a 0.4 metros, 0.4 a 0.6 metros, menos de 15 cm;Meia Sombra, Sol Pleno;Perene
325;Epipremnum pinnatum;Jibóia, Era-do-diabo, Jibóia-verde;Araceae;Folhagens, Forrações à Meia Sombra, Trepadeiras;Equatorial, Oceânico, Subtropical, Tropical;Ilhas Salomão, Oceania;1.2 a 1.8 metros, 1.8 a 2.4 metros, 2.4 a 3.0 metros, 3.0 a 3.6 metros, 3.6 a 4.7 metros, 4.7 a 6.0 metros, 6.0 a 9.0 metros, 9.0 a 12 metros, acima de 12 metros;Luz Difusa, Meia Sombra, Sol Pleno;Perene
326;Episcia cupreata;Planta-tapete, Violeta-vermelha, Asa-da-barata, Epícia, Epíscia;Gesneriaceae;Flores, Flores Perenes;Equatorial, Tropical;América do Sul, Brasil, Colômbia, Venezuela;0.1 a 0.3 metros;Luz Difusa, Meia Sombra;Perene
327;Equisetum spp;Cavalinha, Árvore-de-natal, Cauda-de-cavalo, Cauda-de-eqüina, Cauda-de-raposa, Eqüisseto, Erva-de-canudo, Milho-de-cobra, Pinheirinho, Rabo-de-cavalo;Equisetaceae;Folhagens, Medicinal, Plantas Aquáticas, Plantas Marginais, Plantas Palustres;Continental, Equatorial, Mediterrâneo, Oceânico, Subtropical, Temperado, Tropical;África, América Central, América do Norte, América do Sul, Ásia, Europa;0.3 a 0.4 metros, 0.4 a 0.6 metros, 0.6 a 0.9 metros, 0.9 a 1.2 metros, 1.2 a 1.8 metros, 1.8 a 2.4 metros, 2.4 a 3.0 metros, 3.0 a 3.6 metros, 3.6 a 4.7 metros;Meia Sombra, Sol Pleno;Perene
328;Eragrostis curvula;Capim-chorão, Barba-de-bode;Poaceae;Forrações ao Sol Pleno, Plantas Daninhas;Equatorial, Mediterrâneo, Oceânico, Subtropical, Tropical;África, África do Sul;0.4 a 0.6 metros, 0.6 a 0.9 metros;Sol Pleno;Perene
329;Eranthemum pulchellum;Camarão-azul, Salva-azul;Acanthaceae;Arbustos, Arbustos Tropicais;Equatorial, Subtropical, Tropical;Ásia, Índia;1.2 a 1.8 metros;Luz Difusa, Meia Sombra;Perene
330;Eriobotrya japonica;Nêspera, Nespereira, Ameixa-americana, Magnório, Ameixa-japonesa, Ameixa-do-Japão, Ameixa-do-pará, Ameixeira-japonesa, Magnório, Ameixeira-amarela;Rosaceae;Árvores, Árvores Frutíferas, Medicinal;Subtropical, Temperado, Tropical;Ásia, Japão;0.4 a 0.6 metros, 0.6 a 0.9 metros, 0.9 a 1.2 metros;Sol Pleno;Perene
331;Eruca sativa;Rúcula, Mostarda-persa, Agrião-da-terra, Arucula, Pinchão, Rugula, Agrião-mostarda;Brassicaceae;Folhas e Flores, Medicinal, Plantas Hortícolas;Mediterrâneo, Subtropical, Temperado, Tropical;Ásia, Europa, Mediterrâneo;0.3 a 0.4 metros;Sol Pleno;Anual
332;Erythrina crista-galli;Mulungu, Corticeira, Corticeira-do-banhado, Crista-de-galo, Flor-de-coral, Samauveiro, sananduva, Seibo, Suinã;Fabaceae;Árvores, Árvores Ornamentais, Plantas Aquáticas, Plantas Palustres;Equatorial, Oceânico, Subtropical, Tropical;América do Sul;6.0 a 9.0 metros;Sol Pleno;Perene
333;Erythrina speciosa;Mulungu-do-litoral, Corticeira, Eritrina, Eritrina-candelabro, Eritrina-vermelha, Mulungu;Fabaceae;Árvores, Árvores Ornamentais;Equatorial, Subtropical, Tropical;América do Sul, Brasil;2.4 a 3.0 metros, 3.0 a 3.6 metros, 3.6 a 4.7 metros;Sol Pleno;Perene
334;Erythrina variegata;Eritrina-verde-amarela, Brasileirinho, Eritrina, Eritrina-bicolor, Eritrina-variegada;Fabaceae;Árvores, Árvores Ornamentais;Equatorial, Subtropical, Tropical;Ásia, Austrália, Filipinas, Índia, Malásia, Oceania;6.0 a 9.0 metros, 9.0 a 12 metros;Sol Pleno;Perene
335;Etlingera elatior;Bastão-do-imperador, Flor-da-redenção, Flor-de-cera, Gengibre-tocha;Zingiberaceae;Arbustos, Arbustos Tropicais, Flores Perenes;Equatorial, Subtropical, Tropical;Indonésia;3.6 a 4.7 metros;Meia Sombra;Perene
336;Eucalyptus deglupta;Eucalipto Arco-íris, Eucalipto-da-nova-guiné, Eucalipto-das-filipinas;Myrtaceae;Árvores, Árvores Ornamentais;Equatorial, Oceânico, Subtropical, Tropical;Filipinas, Indonésia, Nova Guiné, Oceania;acima de 12 metros;Sol Pleno;Perene
337;Eucharis grandiflora;Lírio-do-amazonas, Estrela-d'alva, Estrela-da-anunciação, Estrela-de-belém;Amaryllidaceae;Bulbosas, Flores Perenes;Equatorial, Subtropical, Tropical;América do Sul;0.1 a 0.3 metros;Luz Difusa, Meia Sombra;Perene
338;Eugenia involucrata;Cereja-do-rio-grande, Cereja, Cerejeira, Cerejeira-da-terra, Cerejeira-do-mato, Cerejeira-do-rio-grande, Guaibajaí, Ibá-rapiroca, Ibajaí, Ibárapiroca, Ivaí, Ubajaí;Myrtaceae;Árvores, Árvores Frutíferas, Árvores Ornamentais, Bonsai;Subtropical, Tropical;América do Sul, Brasil;4.7 a 6.0 metros, 6.0 a 9.0 metros, 9.0 a 12 metros, acima de 12 metros;Meia Sombra, Sol Pleno;Perene
339;Eugenia pyriformis;Uvaia, Uvalha, Uvalha-do-campo, Uvaia-do-campo, Uvaia-nativa, Ubaia, Uvaia-muchana, Cambuí-da-índia, Ubapeba, Pêssego-do-campo, Uvaia-azeda-do-campo, Uvaia-miúda-da-mata, Uvaia-do-Pêra, Uvaia-do-mato, Uvaieira ;Myrtaceae;Arbustos, Arbustos Tropicais, Árvores, Árvores Frutíferas, Árvores Ornamentais, Medicinal;Mediterrâneo, Subtropical, Temperado, Tropical;América do Sul, Brasil;3.6 a 4.7 metros, 4.7 a 6.0 metros, 6.0 a 9.0 metros, 9.0 a 12 metros;Sol Pleno;Perene
340;Eugenia stipitata;Araçá-boi, Araça-mark, Planta-iogurte, Pé-de-iogurte, Goiaba-amazônica, Ubá-caxi, Araguassuba, Araçá-manga, Araçá-açu;Myrtaceae;Arbustos, Arbustos Tropicais, Árvores, Árvores Frutíferas;Equatorial, Subtropical, Tropical;América Central, América do Sul, Bolívia, Brasil, Colômbia, Costa Rica, Equador, Peru;2.4 a 3.0 metros, 3.0 a 3.6 metros, 3.6 a 4.7 metros;Sol Pleno;Perene
341;Eugenia uniflora;Pitanga, Pitangueira, Cerejeira-brasileira, Ginja, Pitanga-branca, Pitanga-do-mato, Pitanga-rósea, Pitanga-roxa, Pitangueira-miúda, Pitangueira-vermelha, Pitanga-vermelha, Pitangueira, Pitangueira-comum;Myrtaceae;Arbustos, Arbustos Tropicais, Árvores, Árvores Frutíferas, Árvores Ornamentais, Cercas Vivas;Equatorial, Mediterrâneo, Oceânico, Semi-árido, Subtropical, Temperado, Tropical;América do Sul, Argentina, Brasil, Uruguai;1.8 a 2.4 metros, 2.4 a 3.0 metros, 3.0 a 3.6 metros, 3.6 a 4.7 metros, 4.7 a 6.0 metros, 6.0 a 9.0 metros, 9.0 a 12 metros;Sol Pleno;Perene
342;Euonymus japonicus;"Evônimo, Ivone, Evónimo, Barrete-de-padre, Evônimo-do-Japão; Evônimo-dos-jardins, Ivone-amarela, Brasileirinha";Celastraceae;Arbustos, Bonsai, Cercas Vivas, Folhagens;Continental, Mediterrâneo, Oceânico, Subtropical, Temperado, Tropical;Ásia, China, Coréia do Norte, Coréia do Sul, Japão;1.2 a 1.8 metros, 1.8 a 2.4 metros;Meia Sombra, Sol Pleno;Perene
343;Euphorbia cotinifolia;Leiteiro-vermelho, Açacuí, Aiapana, Barrabás, Caracasana, Figueirinha-roxa, Maleiteira;Euphorbiaceae;Arbustos, Arbustos Tropicais, Árvores, Árvores Ornamentais;Equatorial, Subtropical, Tropical;América Central, América do Sul;1.8 a 2.4 metros, 2.4 a 3.0 metros, 3.0 a 3.6 metros;Sol Pleno;Perene
344;Euphorbia fulgens;Chiquita-bacana, ;Euphorbiaceae;Arbustos, Arbustos Tropicais;Equatorial, Tropical;América do Norte, México;0.9 a 1.2 metros, 1.2 a 1.8 metros;Sol Pleno;Perene
345;Euphorbia ingens;Cacto-candelabro, ;Euphorbiaceae;Cactos e Suculentas;Equatorial, Semi-árido, Subtropical, Tropical;África, África do Sul;3.0 a 3.6 metros, 3.6 a 4.7 metros, 4.7 a 6.0 metros, 6.0 a 9.0 metros, 9.0 a 12 metros;Sol Pleno;Perene
346;Euphorbia leucocephala;Cabeleira-de-velho, Cabeça-branca, Cabeleireiro-de-velho, Flor-de-criança, Leiteiro, Neve-da-montanha;Euphorbiaceae;Arbustos, Arbustos Tropicais;Equatorial, Subtropical, Tropical;América Central;1.2 a 1.8 metros, 1.8 a 2.4 metros, 2.4 a 3.0 metros, 3.0 a 3.6 metros;Sol Pleno;Perene
347;Euphorbia milii;Colchão-de-noiva, Bem-casados, Coroa-de-cristo, Coroa-de-espinhos, Dois-irmãos, Martírios;Euphorbiaceae;Arbustos, Arbustos Tropicais, Cercas Vivas;Equatorial, Subtropical, Tropical;África, Madagascar;0.6 a 0.9 metros;Meia Sombra, Sol Pleno;Perene
348;Euphorbia pulcherrima;Poinsétia, Bico-de-papagaio, Flor-de-natal, Flor-de-páscoa, Flor-de-são-joão, Folha-de-sangue;Euphorbiaceae;Arbustos, Arbustos Tropicais, Flores Perenes;Equatorial, Subtropical, Tropical;América do Norte, México;0.4 a 0.6 metros, 0.6 a 0.9 metros, 0.9 a 1.2 metros, 1.2 a 1.8 metros, 1.8 a 2.4 metros, 2.4 a 3.0 metros;Meia Sombra, Sol Pleno;Perene
349;Euphorbia tirucalli;Avelós, Pau-pelado, Coroa-de-cristo, Cachorro-pelado, Árvore-lápis, Graveto-do-diabo, Aveloz, Árvore-de-são-sebastião, Almeidinha, Árvore-do-coral-de-são-sebastião, Árvore-do-lápis, Cassoneira, Cega-olho, Coral-de-são-sebastião, Coral-verde, Dedinho, Dedo-de-diabo, Dente-de-cão, Espinho-de-Cristo, Espinho-de-judeu, Espinho-italiano, Labirinto, Mata-verrugas, Pinheirinho, Pau-liso, Pau-sobre-pau;Euphorbiaceae;Arbustos, Arbustos Tropicais, Árvores, Árvores Ornamentais, Cactos e Suculentas, Cercas Vivas, Folhagens, Medicinal, Plantas Daninhas, Plantas Tóxicas;Continental, Equatorial, Mediterrâneo, Oceânico, Semi-árido, Subtropical, Tropical;África;0.6 a 0.9 metros, 0.9 a 1.2 metros, 1.2 a 1.8 metros, 1.8 a 2.4 metros, 2.4 a 3.0 metros, 3.0 a 3.6 metros, 3.6 a 4.7 metros, 4.7 a 6.0 metros;Sol Pleno;Perene
350;Eustoma grandiflorum;Lisianto, Genciana-do-prado;Gentianaceae;Flores Anuais;Equatorial, Mediterrâneo, Subtropical, Temperado, Tropical;América do Norte, Estados Unidos, México;0.3 a 0.4 metros, 0.4 a 0.6 metros;Meia Sombra, Sol Pleno;Anual
351;Euterpe edulis;Palmito-jussara, Açaí-do-sul, Ensarova, Içara, Iiçara, Inçara, Iuçara, Jaçara, Jiçara, Juçara, Jussara, Palmeira-juçara, Palmeira-jussara, Palmeiro-doce, Palmiteira, Palmiteiro-doce, Palmito, Palmito-branco, Palmito-da-mata, Palmito-doce, Palmito-juçara, Palmito-vermelho, Ripa, Ripeira;Arecaceae;Palmeiras;Oceânico, Subtropical, Tropical;América do Sul, Argentina, Brasil, Paraguai;4.7 a 6.0 metros, 6.0 a 9.0 metros, 9.0 a 12 metros, acima de 12 metros;Meia Sombra, Sol Pleno;Perene
352;Euterpe oleracea;Açaí, Açaí-do-pará, Açaizeiro, Assai, Juçara, Piná, Palmito, Palmeira-açaí, Açaí-preto, Palmiteiro;Arecaceae;Árvores, Árvores Frutíferas, Palmeiras;Equatorial, Oceânico, Subtropical, Tropical;América do Sul, Brasil, Colômbia, Equador, Guiana, Venezuela;9.0 a 12 metros;Meia Sombra, Sol Pleno;Perene
353;Evolvulus glomeratus;Evólvulo, Azulzinha;Convolvulaceae;Flores Perenes, Forrações à Meia Sombra, Forrações ao Sol Pleno;Equatorial, Subtropical, Tropical;América do Sul, Brasil, Paraguai;0.1 a 0.3 metros;Meia Sombra, Sol Pleno;Perene
354;Exacum affine;Violeta-persa, Violeta-alemã, Violeta-da-pérsia;Gentianaceae;Flores Anuais;Equatorial, Subtropical, Tropical;Iêmen, Oriente Médio;0.1 a 0.3 metros;Luz Difusa, Meia Sombra;Bienal
355;Farfugium japonicum;Gorro-de-vasco, Planta-leopardo-gigante, Pata-de-cavalo;Asteraceae;Bulbosas, Flores, Folhagens;Oceânico, Subtropical, Temperado, Tropical;Ásia, Coréia do Norte, Coréia do Sul, Japão, Taiwan;0.3 a 0.4 metros, 0.4 a 0.6 metros, 0.6 a 0.9 metros, 0.9 a 1.2 metros;Luz Difusa, Meia Sombra, Sombra;Perene
